year,geo,component,avg_cpi
2021,Saskatchewan,All-items,144.4
2021,Saskatchewan,Shelter,173.2
2022,Alberta,All-items,158.9
2022,Alberta,Shelter,192.1
2022,British Columbia,All-items,145.5
2022,British Columbia,Shelter,142.8
2022,Canada,All-items,151.2
2022,Canada,Shelter,163.3
2022,Manitoba,All-items,153.2
2022,Manitoba,Shelter,175.7
2022,New Brunswick,All-items,152.1
2022,New Brunswick,Shelter,157.6
2022,Newfoundland and Labrador,All-items,153.9
2022,Newfoundland and Labrador,Shelter,180.2
2022,Nova Scotia,All-items,154.3
2022,Nova Scotia,Shelter,170.7
2022,Ontario,All-items,152.9
2022,Ontario,Shelter,167.6
2022,Prince Edward Island,All-items,157.8
2022,Prince Edward Island,Shelter,168.6
2022,Quebec,All-items,147.0
2022,Quebec,Shelter,150.8
2022,Saskatchewan,All-items,153.9
2022,Saskatchewan,Shelter,182.2
2023,Alberta,All-items,164.1
2023,Alberta,Shelter,204.7
2023,British Columbia,All-items,151.2
2023,British Columbia,Shelter,150.9
2023,Canada,All-items,157.1
2023,Canada,Shelter,172.5
2023,Manitoba,All-items,158.6
2023,Manitoba,Shelter,184.6
2023,New Brunswick,All-items,157.5
2023,New Brunswick,Shelter,164.7
2023,Newfoundland and Labrador,All-items,159.0
2023,Newfoundland and Labrador,Shelter,189.1
2023,Nova Scotia,All-items,160.5
2023,Nova Scotia,Shelter,179.9
2023,Ontario,All-items,158.7
2023,Ontario,Shelter,176.4
2023,Prince Edward Island,All-items,162.3
2023,Prince Edward Island,Shelter,172.5
2023,Quebec,All-items,153.6
2023,Quebec,Shelter,160.2
2023,Saskatchewan,All-items,160.0
2023,Saskatchewan,Shelter,193.6
2024,Alberta,All-items,168.9
2024,Alberta,Shelter,219.1
2024,British Columbia,All-items,155.2
2024,British Columbia,Shelter,160.1
2024,Canada,All-items,160.9
2024,Canada,Shelter,182.3
2024,Manitoba,All-items,160.3
2024,Manitoba,Shelter,193.6
2024,New Brunswick,All-items,161.0
2024,New Brunswick,Shelter,173.7
2024,Newfoundland and Labrador,All-items,161.9
2024,Newfoundland and Labrador,Shelter,197.8
2024,Nova Scotia,All-items,164.2
2024,Nova Scotia,Shelter,188.6
2024,Ontario,All-items,162.5
2024,Ontario,Shelter,185.5
2024,Prince Edward Island,All-items,165.3
2024,Prince Edward Island,Shelter,177.6
2024,Quebec,All-items,157.2
2024,Quebec,Shelter,170.5
2024,Saskatchewan,All-items,162.3
2024,Saskatchewan,Shelter,200.8
